id,question,category,answer_format,n_matches,entity_match,column_mappings,phrase_matches,n_matches_predict
65,Are residential buildings more closely located to the squares than commercial buildings in 1740?,function,yes or no,3,1,"[('residential buildings', 'building_functions', 1), ('residential buildings', 'building_functions', 2), ('squares', 'landmark_type', 3), ('commercial buildings', 'building_functions', 1), ('commercial buildings', 'building_functions', 2)]","[{'residential buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento, casa', 'appartamento, casa, magazzeno']}}, {'residential buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa, corto, portico', 'appartamento, casa, volta', 'appartamento, casa', 'area, casa']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",5
66,Are residential buildings more closely located to the squares than commercial buildings in 1808?,function,yes or no,3,1,"[('residential buildings', 'building_functions', '2'), ('squares', 'landmark_type', '3'), ('commercial buildings', 'building_functions', '2')]","[{'residential buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa, corto, portico', 'appartamento, casa, volta', 'appartamento, casa', 'area, casa']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",3
67,What is the average distance between workshops and their nearest square in 1740?,function,a single number,2,1,"[('workshops', 'building_functions', '1'), ('workshops', 'building_functions', '2'), ('square', 'landmark_type', '3'), ('longitude', 'longitude', '1'), ('latitude', 'latitude', '1'), ('longitude', 'longitude', '2'), ('latitude', 'latitude', '2')]","[{'workshops': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno, orto']}}, {'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",3
68,What is the average distance between houses and their nearest square in 1740?,function,a single number,2,1,"[('houses', 'building_functions', 1), ('square', 'landmark_type', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, orto', 'appartamento, casa', 'casa, scala']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",2
69,What is the average distance between schools and their nearest church in 1740?,function,a single number,2,1,"[('schools', 'building_functions', 1), ('schools', 'building_functions', 2), ('church', 'landmark_name', 3)]","[{'schools': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['scuola']}}, {'schools': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",3
70,What is the average distance between workshops and their nearest square in 1808?,function,a single number,2,1,"[('workshops', 'building_functions', 2), ('square', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",2
71,What is the average distance between houses and their nearest square in 1808?,function,a single number,2,1,"[('houses', 'building_functions', 2), ('square', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'casa, loggia', 'casa, tintoria', 'bottega, casa, locanda', 'appartamento, casa', 'casa, luogo', 'casa, orto']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",2
72,What is the average distance between schools and their nearest church in 1808?,function,a single number,2,1,"[('schools', 'building_functions', 2), ('church', 'landmark_type', 3)]","[{'schools': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno, scuola']}}, {'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",2
73,"On average, are buildings with multiple functions more expensive than the ones with a single function in 1740?",function,yes or no,0,0,"[('buildings with multiple functions', 'building_functions_count', 1), ('buildings with multiple functions', 'building_functions_count', 2), ('the ones with a single function', 'building_functions_count', 1), ('the ones with a single function', 'building_functions_count', 2), ('more expensive', 'rent_price', 1), ('more expensive', 'building_area', 2)]",[],0
74,"On average, are buildings with multiple functions larger than the ones with a single function in 1808?",function,yes or no,0,0,"[('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('multiple functions', 'building_functions_count', 1), ('multiple functions', 'building_functions_count', 2), ('single function', 'building_functions_count', 1), ('single function', 'building_functions_count', 2), ('larger', 'building_area', 2)]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'single function': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count', 'matches': ['1']}}, {'single function': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count', 'matches': ['1']}}]",4
75,What is the most common combination of functions of multi-functional buildings in 1740?,function,a single entity name,0,0,"[('functions', 'building_functions', 1)]",[],0
76,What is the most common combination of functions of multi-functional buildings in 1808?,function,a single entity name,0,0,"[('functions', 'building_functions', 2)]",[],0
77,Is there a correlation between building functions and their proximity to the churches in 1740?,function,yes or no,1,0,"[('building functions', 'building_functions', 1), ('building functions', 'building_functions', 2), ('churches', 'landmark_type', 3)]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",1
78,Is there a correlation between building functions and their proximity to the churches in 1808?,function,yes or no,1,0,"[('building functions', 'building_functions', '2'), ('churches', 'landmark_type', '3'), ('proximity', 'longitude', '2'), ('proximity', 'latitude', '2')]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",1
79,Which church is surrounded by the most diverse set of building functions in 1740?,function,a single entity name,1,0,"[('church', 'landmark_type', 3), ('building_functions', 'building_functions', 1)]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",1
80,Which church is surrounded by the most diverse set of building functions in 1808?,function,a single entity name,1,0,"[('church', 'landmark_type', 3), ('building functions', 'building_functions', 2), ('diverse set', 'building_functions_count', 2)]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'diverse set': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count', 'matches': ['3']}}]",2
81,Is there a correlation between the number of building functions and the rent price in 1740?,function,yes or no,0,0,"[('number of building functions', 'building_functions_count', 1), ('number of building functions', 'building_functions_count', 2), ('rent price', 'rent_price', 1)]",[],0
82,Is there a correlation between the number of building functions and the size of the building in 1808?,function,yes or no,0,0,"[('number of building functions', 'building_functions_count', 1), ('number of building functions', 'building_functions_count', 2), ('size of the building', 'building_area', 2)]",[],0
83,Which square has the largest number of commercial buildings within 100 meters in the dataset in 1740?,function,a single entity name,2,0,"[('square', 'landmark_type', 3), ('commercial buildings', 'building_functions', 1), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}]",2
84,Which square has the largest number of commercial buildings within 100 meters in the dataset in 1808?,function,a single entity name,2,0,"[('square', 'landmark_type', 3), ('commercial buildings', 'building_functions', 2), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2)]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",2
85,Which family owns the most number of buildings in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('number of buildings', 'building_functions_count', 1)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}]",1
86,How many buildings does the family of Michiel own in 1740?,personal,a single number,1,1,"[('Michiel', 'owner_family_name', 1), ('buildings', 'building_functions', 1)]","[{'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}]",2
87,How many buildings does the Zuanne Don own in 1740?,personal,a single number,2,1,"[('Zuanne', 'owner_first_name', 1), ('Don', 'owner_family_name', 1), ('buildings', 'building_functions', 1)]","[{'zuanne': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['zuanne']}}, {'don': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dona', 'dazon']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}]",3
88,Which family owns the most number of buildings in 1808?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('building_functions_count', 'building_functions_count', 1), ('building_area', 'building_area', 2)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",2
89,How many buildings does the family of Michiel own in 1808?,personal,a single number,1,1,"[('Michiel', 'owner_family_name', 2), ('family', 'owner_family_name', 2), ('buildings', 'building_functions_count', 2)]","[{'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",2
90,How many buildings does the Zuanne Francesco own in 1740?,personal,a single number,2,1,"[('Zuanne Francesco', 'owner_first_name', '1'), ('buildings', 'building_functions', '1')]","[{'zuanne francesco': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['zuanne francesco']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}]",2
91,Is there any correlation between the family name and the profession in 1740?,personal,yes or no,0,0,"[('family name', 'owner_family_name', 1), ('family name', 'owner_family_name', 2), ('profession', 'owner_profession', 1)]","[{'family name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['bembo frattina']}}, {'family name': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico', 'dottor']}}]",3
92,Which family owns the most number of buildings per parish on average in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('building_functions_count', 'building_functions_count', 1), ('building_functions_count', 'building_functions_count', 2), ('parish', 'parish', 1), ('district', 'district', 2)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",3
93,Which family owns the most number of buildings per district on average in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', '1'), ('parish', 'parish', '1')]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",2
94,How many lawyers are there in Venice in 1740?,personal,a single number,1,1,"[('lawyers', 'owner_profession', '1')]","[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]",1
95,How many cook are there in Venice in 1740?,personal,a single number,1,1,"[('cook', 'owner_profession', 1)]",[],0
96,How many medical doctors are there in Venice in 1740?,personal,a single number,1,1,"[('medical doctors', 'owner_profession', 1)]","[{'medical doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico']}}]",1
97,What does Carlo Alberegno do in 1740?,personal,a single entity name,2,1,"[('Carlo Alberegno', 'owner_profession', '1')]","[{'carlo alberegno': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['orefice']}}]",1
98,How many merchants are there in Venice in 1740?,personal,a single number,1,1,"[('merchants', 'owner_profession', 1)]","[{'merchants': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['mercante da legname']}}]",1
99,In which parish do prosecutors inhabit the most in 1740?,personal,a single entity name,1,1,"[('prosecutors', 'owner_profession', 1), ('inhabit', 'parish', 1)]","[{'prosecutors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['procurator', 'procuratore']}}, {'inhabit': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['san cassiano', 'san vidal']}}]",2
100,In which parish do lawyers own the most number of buildings in 1740?,personal,a single entity name,1,1,"[('parish', 'parish', 1), ('lawyers', 'owner_profession', 1)]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}, {'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]",2
101,How much of do doctors earch from rent on average in 1740?,personal,a single number,1,1,"[('doctors', 'owner_profession', 1), ('earn', 'rent_price', 1)]","[{'doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['dottor']}}]",1
102,Who is the richest person in term of how much they earn from rent in 1740?,personal,a single number,0,0,"[('Who', 'owner_first_name', 1), ('person', 'owner_first_name', 1), ('richest', 'rent_price', 1), ('term', 'building_functions', 1), ('they', 'owner_first_name', 1), ('rent', 'rent_price', 1)]","[{'who': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['luigi']}}, {'person': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['piero', 'pierobon']}}, {'term': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['bottega', 'magazzeno', 'orto', 'bottega, corto']}}, {'they': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['zuane', 'nasto', 'giovanni andrea', 'ottavia', 'giesaron']}}]",4
103,Is there a significant difference in rent prices based on the profession of the building owner in 1740?,personal,yes or no,0,0,"[('rent prices', 'rent_price', 1), ('profession of the building owner', 'owner_profession', 1)]",[],0
104,What is the most common building functions of buildings owned by the same family in 1740?,personal,a single entity name,0,0,"[('building_functions', 'building_functions', '1'), ('most common', 'building_functions_count', '1'), ('owned by the same family', 'owner_family_name', '1')]",[],0
105,What is the most common building functions of buildings owned by the same family in 1808?,personal,a single entity name,0,0,"[('building functions', 'building_functions', '2'), ('same family', 'owner_family_name', '2')]","[{'same family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",1
106,What type of building is owned the most by lawyers in 1740?,personal,a single entity name,1,1,"[('type of building', 'building_functions', 1), ('type of building', 'building_functions', 2), ('lawyers', 'owner_profession', 1)]","[{'type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'bottega, casa, scala']}}, {'type of building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['bottega, casa, corto, magazzeno, portico']}}, {'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]",3
107,What type of building is owned the most by doctors in 1740?,personal,a single entity name,1,1,"[('type of building', 'building_functions', 1), ('type of building', 'building_functions', 2), ('doctors', 'owner_profession', 1)]","[{'type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'bottega, casa, scala']}}, {'type of building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['bottega, casa, corto, magazzeno, portico']}}, {'doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['dottor']}}]",3
108,How many people were relocated by more than 1km from 1740 to 1808?,comparison,a single number,0,0,"[('people', 'owner_first_name', '1'), ('people', 'tenant_name', '1'), ('relocated', 'owner_first_name', '1'), ('relocated', 'owner_family_name', '1'), ('by more than 1km', 'longitude', '1'), ('by more than 1km', 'latitude', '1'), ('1740', 'parish', '1'), ('1808', 'district', '2')]","[{'people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['ottavio', 'ludovico', 'ottavia', 'vita']}}, {'people': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['domenico persone', 'iseppo persone']}}]",2
109,What is the average distance moved by individuals who owned buildings in both 1740 and 1808?,comparison,a single number,0,0,"[('owned buildings', 'owner_family_name', 2), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'owned buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['castelli', 'urbani', 'mineli vanasel castelli', 'vansel castelli giusto', 'castelli vanaxel', 'baldovini']}}]",1
110,How many more buildings does the family of Michiel own in 1808 compared to 1740?,comparison,a single number,1,1,"[('Michiel', 'owner_family_name', 1), ('Michiel', 'owner_family_name', 2), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('own', 'owner_first_name', 1), ('own', 'owner_family_name', 1), ('own', 'owner_first_name', 2), ('own', 'owner_family_name', 2), ('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2)]","[{'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['herz', 'domestici', 'vlasto']}}, {'own': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['mano']}}, {'own': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['milik']}}]",8
111,Which profession exhibited the highest rate of relocation compared to others from 1740 to 1808?,comparison,a single entity name,0,0,[],[],0
112,How many families own more buildings in 1808 than what they owned in 1740?,comparison,a single number,0,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('building_functions_count', 'building_functions_count', 1), ('building_functions_count', 'building_functions_count', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}]",2
113,How many families relocated their buildings closer to squares from 1740 to 1808?,comparison,a single number,1,0,"[('families', 'owner_first_name', 1), ('families', 'owner_family_name', 1), ('families', 'owner_first_name', 2), ('families', 'owner_family_name', 2), ('relocated their buildings', 'longitude', 1), ('relocated their buildings', 'latitude', 1), ('relocated their buildings', 'longitude', 2), ('relocated their buildings', 'latitude', 2), ('closer to squares', 'landmark_type', 3)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['giovanni mattia']}}, {'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['famiglia']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'closer to squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",5
114,How many families relocated their buildings further away from squares from 1740 to 1808?,comparison,a single number,1,0,"[('families', 'owner_first_name', '1'), ('families', 'owner_family_name', '1'), ('families', 'tenant_name', '1'), ('families', 'owner_first_name', '2'), ('families', 'owner_family_name', '2'), ('squares', 'landmark_type', '3'), ('squares', 'longitude', '1'), ('squares', 'latitude', '1'), ('squares', 'longitude', '2'), ('squares', 'latitude', '2')]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['giovanni mattia']}}, {'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['nicolò filla e matteo', 'giovanni maria fattori']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['famiglia']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",6
115,How many more buildings are located within 100 meters from the closest squares in 1808 compared to 1740?,comparison,a single number,1,0,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('squares', 'landmark_name', 3), ('distance', 'longitude', 1), ('distance', 'latitude', 1), ('distance', 'longitude', 2), ('distance', 'latitude', 2), ('distance', 'longitude', 3), ('distance', 'latitude', 3)]",[],0
116,How many less buildings are located within 100 meters from the closest  squares in 1808 compared to 1740?,comparison,a single number,1,0,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('squares', 'landmark_type', 3), ('100 meters', 'longitude', 1), ('100 meters', 'latitude', 1), ('100 meters', 'longitude', 2), ('100 meters', 'latitude', 2)]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",3
117,How many families present in Venice in 1740 still exist in 1808?,comparison,a single number,0,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('Venice', 'parish', 1), ('Venice', 'district', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'venice': {'dataset': 'data/buildings_1808.csv', 'column': 'district', 'matches': ['castello']}}]",3
118,Does the family of Michiel exist in both periods?,comparison,yes or no,2,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",2
119,How many more buildings does the family of Michiel own in 1808 compared to 1740?,comparison,a single number,2,1,"[('Michiel', 'owner_family_name', 1), ('Michiel', 'owner_family_name', 2), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('own', 'owner_first_name', 1), ('own', 'owner_family_name', 1), ('own', 'owner_first_name', 2), ('own', 'owner_family_name', 2), ('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2)]","[{'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['herz', 'domestici', 'vlasto']}}, {'own': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['mano']}}, {'own': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['milik']}}]",8
120,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",2
121,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",2
122,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', 1), ('family of Michiel', 'owner_family_name', 2)]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}]",2
123,Which family increased the number of buildings they owned the most from 1740 to 1808?,comparison,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('number of buildings', 'building_functions_count', 1), ('increased the most', 'owner_family_name', 1)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}]",1
124,How many building changed from residential to commercial use between 1740 and 1808?,comparison,a single number,4,1,"[('building', 'building_functions', 1), ('residential', 'building_functions', 1), ('commercial', 'building_functions', 1), ('building', 'building_functions', 2), ('residential', 'building_functions', 2), ('commercial', 'building_functions', 2)]","[{'building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico']}}, {'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno', 'calle', 'calle, magazzeno']}}, {'building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'appartamento, luogo']}}, {'residential': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno']}}]",6
