question,category,answer_format,n_matches,column_mappings,in_columns,phrase_matches,references,n_matches_predict
In which parish do lawyers own the most number of buildings in 1740?,personal,a single entity name,1,"[('In which', 'parish', 1), ('parish', 'parish', 1), ('lawyers', 'owner_profession', 1), ('own', 'owner_first_name', 1), ('own', 'owner_family_name', 1)]","[False, True, True, True, True]","[{'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}, {'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['herz', 'domestici', 'vlasto']}}]","[{'in which': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",4
Is there a significant difference in rent prices based on the profession of the building owner in 1740?,personal,"yes or ""no""",0,"[('rent prices', 'rent_price', 1), ('profession', 'owner_profession', 1)]","[False, False]",[],"[{'rent prices': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}]",0
What is the most common building functions of buildings owned by the same family in 1740?,personal,a single entity name,0,"[('most common', 'Building_Functions_count', 1), ('building functions', 'building_functions', 1), ('owned by the same family', 'owner_family_name', 1), ('owned by the same family', 'owner_family_name', 2)]","[False, False, False, False]",[],"[{'most common': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'owned by the same family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owned by the same family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
What is the most common building functions of buildings owned by the same family in 1808?,personal,a single entity name,0,"[('most common', 'Building_Functions', 2), ('building functions', 'Building_Functions', 2), ('owned by the same family', 'owner_family_name', 1), ('owned by the same family', 'owner_first_name', 1), ('owned by the same family', 'owner_family_name', 2), ('owned by the same family', 'owner_first_name', 2)]","[False, False, False, False, False, False]",[],"[{'most common': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'owned by the same family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owned by the same family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'owned by the same family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'owned by the same family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}]",0
What type of building is owned the most by lawyers in 1740?,personal,a single entity name,1,"[('What type of building', 'building_functions', 1), ('owned the most', None, None), ('by lawyers', 'owner_profession', 1)]","[False, False, True]","[{'by lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]","[{'what type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
What type of building is owned the most by doctors in 1740?,personal,a single entity name,1,"[('What type of building', 'building_functions', 1), ('owned the most by doctors', 'owner_profession', 1)]","[False, True]","[{'owned the most by doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico']}}]","[{'what type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
How many families were relocated by more than 1km from 1740 to 1808?,comparison,a single number,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('relocated', 'longitude', 1), ('relocated', 'latitude', 1), ('relocated', 'longitude', 2), ('relocated', 'latitude', 2)]","[False, False, False, False, False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'relocated': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'relocated': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'relocated': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'relocated': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",0
What is the average distance moved by families who owned buildings in both 1740 and 1808?,comparison,a single number,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('owner_first_name', 'owner_first_name', 1), ('owner_family_name', 'owner_family_name', 1), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[False, False, False, False, False, False, False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'owner_first_name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'owner_family_name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'longitude': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'latitude': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}, {'longitude': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'latitude': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",0
Which Location in Venice the families moved to the most from 1740 to 1808?,comparison,a single entity name,0,"[('Location', 'location', 1), ('Location', 'location', 2), ('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2)]","[False, False, False, False]",[],"[{'location': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}, {'location': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}, {'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
Which profession exhibited the highest rate of relocation compared to others from 1740 to 1808?,comparison,a single entity name,0,"[('profession', 'owner_profession', 1), ('relocation', 'tenant_name', 1), ('relocation', 'owner_first_name', 2)]","[False, False, False]",[],"[{'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}, {'relocation': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name'}}, {'relocation': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}]",0
How many families own more buildings in 1808 than what they owned in 1740?,comparison,a single number,0,"[('How many families', 'owner_family_name', 1), ('own more buildings', 'building_functions_count', 2), ('in 1808 than what they owned in 1740', None, None)]","[False, False, True]",[],"[{'how many families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'own more buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
How many families relocated their buildings closer to squares from 1740 to 1808?,comparison,a single number,1,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2)]","[False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
How many families relocated their buildings further away from squares from 1740 to 1808?,comparison,a single number,1,"[('families', 'owner_family_name', 1), ('squares', 'Landmark_Type', 3)]","[False, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",1
How many more buildings are located within 100 meters from squares in 1808 compared to 1740?,comparison,a single number,1,"[('squares', 'landmark_name', 3), ('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2)]","[True, True, True]",[],[],0
How many less buildings are located within 100 meters from squares in 1808 compared to 1740?,comparison,a single number,1,"[('squares', 'landmark_name', 3), ('buildings', 'building_functions_count', 1), ('less', None, None), ('within 100 meters from', None, None)]","[True, True, True, True]",[],[],0
How many families present in Venice in 1740 still exist in 1808?,comparison,a single number,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2)]","[False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
Which family increased the number of buildings they owned the most from 1740 to 1808?,comparison,a single entity name,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('number of buildings', 'building_functions_count', 1), ('number of buildings', 'building_area', 2)]","[False, False, False, False]",[],"[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'number of buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'number of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
How many building changed from residential to commercial use between 1740 and 1808?,comparison,a single number,4,"[('building', 'buildings', 1), ('building', 'buildings', 2), ('residential', 'building_functions', 1), ('commercial', 'building_functions', 1), ('residential', 'building_functions', 2), ('commercial', 'building_functions', 2)]","[False, False, True, True, True, True]","[{'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno', 'calle', 'calle, magazzeno']}}, {'residential': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno']}}]",[],4
How many buildings retained the same function across the two time periods?,comparison,a single number,0,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('function', 'building_functions', 1), ('function', 'building_functions', 2)]","[False, False, True, False, False]","[{'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'function': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'function': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
How many new families appeared in Venice in 1808 that were not present in 1740?,comparison,a single number,0,"[('new families', 'owner_family_name', 2), ('in Venice', 'location', 2), ('in 1808', None, None), ('were not present in 1740', 'owner_family_name', 1)]","[False, False, True, False]",[],"[{'new families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'in venice': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}, {'were not present in 1740': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",0
Is there any decrease in the number of buildings held by a family on average from 1740 to 1808?,comparison,"yes or ""no""",0,"[('number of buildings', 'building_functions_count', 1), ('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2)]","[True, False, True]","[{'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",1
Are there any families who moved closer to the churches in general from 1740 to 1808?,comparison,"yes or ""no""",1,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('churches', 'Landmark_Type', 3)]","[False, False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
Are there any families who moved further away from the churches in general from 1740 to 1808?,comparison,"yes or ""no""",1,[],[],[],[],0
How many families who owned buildings in both 1740 and 1808 changed the type of buildings they owned?,comparison,a single number,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('owned buildings', 'building_functions', 1), ('owned buildings', 'building_functions', 2)]","[True, False, False, False]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}]","[{'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'owned buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'owned buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
Did any families transition from being tenants in 1740 to building owners in 1808?,comparison,a single entity name,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('tenants', 'tenant_name', 1), ('building owners', 'owner_first_name', 2)]","[False, False, True, True]","[{'tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['giovanni battista talota', 'domenico zane']}}, {'building owners': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['architetto']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",2
Have the squares with the most number of commercial buildings within 100 meters changed from 1740 to 1808?,comparison,"yes or ""no""",3,[],[],[],[],0
How many buildings are located within 100 meters of a church in 1808 compared to 1740?,comparison,a single number,1,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('location', 'location', 2)]","[False, True, False]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'location': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}]",0
How many more buildings are located within 100 meters from the square of San Marco in 1808 compared to 1740?,comparison,a single number,1,"[('San Marco', 'landmark_name', 3), ('square', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2)]","[True, True, True, True]","[{'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
What are the names of the most densely populated squares with the most number of buildings within 100 meters in both periods 1740 and 1808?,comparison,a single entity name,1,"[('squares', 'Landmark_Type', 3), ('buildings', 'building_functions_count', 1), ('distance', 'location', 1), ('periods', None, None)]","[True, False, True, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'distance': {'dataset': 'data/buildings_1740.csv', 'column': 'location', 'matches': ['calle larga']}}]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",2
Which type of a building have been moved further away from the churches the most from 1740 to 1808?,comparison,a single entity name,1,"[('type of a building', 'building_functions', 1), ('location', 'location', 1), ('location', 'location', 2)]","[False, True, True]","[{'location': {'dataset': 'data/buildings_1740.csv', 'column': 'location', 'matches': ['malcanton']}}, {'location': {'dataset': 'data/buildings_1808.csv', 'column': 'location', 'matches': ['calle']}}]","[{'type of a building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",2
Which type of a building have been moved closer to the churches the most from 1740 to 1808?,comparison,a single entity name,1,"[('type', 'building_functions', 1), ('churches', 'landmark_name', 3), ('location', 'location', 1), ('parish', 'parish', 1), ('location', 'location', 2), ('parish', 'parish', 2)]","[False, True, False, True, False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'type': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'location': {'dataset': 'data/buildings_1740.csv', 'column': 'location'}}, {'location': {'dataset': 'data/buildings_1808.csv', 'column': 'location'}}]",2
Did the number of buildings with more than one function increase over time from 1740 to 1808?,comparison,"yes or ""no""",0,"[('number of', 'building_functions_count', 1), ('buildings', None, 1), ('more than one function', 'building_functions_count', 1), ('over time', None, None)]","[False, False, True, False]",[],"[{'number of': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
Are there any parishes with more than 5 buildings owned by a single family in 1740?,spatial,"yes or ""no""",0,"[('parishes', 'parish', 1), ('5', 'building_functions_count', 1), ('owned by a single family', 'owner_family_name', 1)]","[False, True, False]","[{'5': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count', 'matches': ['4']}}]","[{'parishes': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}, {'owned by a single family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",1
Are there any districts with more than 5 buildings owned by a single family in 1808?,spatial,"yes or ""no""",0,"[('districts', 'district', 2), ('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('owned by a single family', 'owner_family_name', 1), ('owned by a single family', 'owner_family_name', 2)]","[False, True, False, False, False]",[],"[{'districts': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'owned by a single family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owned by a single family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
