id,question,category,answer_format,n_matches,entity_match,column_mappings,in_columns,phrase_matches,references,n_matches_predict
68,What is the average distance between houses and their nearest square in 1740?,function,a single number,2,1,"[('buildings', 'building_functions_count', 1), ('landmark_name', 'landmark_name', 3)]","[False, True]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
69,What is the average distance between schools and their nearest church in 1740?,function,a single number,2,1,"[('churches', 'landmark_name', 3), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1)]","[True, False, False]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'longitude': {'dataset': 'data/buildings_1740.csv', 'column': 'longitude'}}, {'latitude': {'dataset': 'data/buildings_1740.csv', 'column': 'latitude'}}]",1
70,What is the average distance between workshops and their nearest square in 1808?,function,a single number,2,1,"[('workshops', 'building_functions', 2), ('square', 'Landmark_Type', 3)]","[True, True]","[{'workshops': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['cantiere', 'magazzeno, raffinaria']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",[],2
71,What is the average distance between houses and their nearest square in 1808?,function,a single number,2,1,"[('houses', 'building_functions_count', 1), ('houses', 'longitude', 2), ('houses', 'latitude', 2), ('square', 'landmark_name', 3)]","[False, False, False, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]","[{'houses': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'longitude'}}, {'houses': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",1
72,What is the average distance between schools and their nearest church in 1808?,function,a single number,2,1,"[('church', 'landmark_type', 3), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[True, True, False]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'latitude': {'dataset': 'data/buildings_1808.csv', 'column': 'latitude'}}]",1
73,"On average, are buildings with multiple functions more expensive than the ones with a single function in 1740?",function,yes or no,0,0,"[('building_functions', 'building_functions', 1), ('rent_price', 'rent_price', 1)]","[False, True]",[],"[{'building_functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",0
74,"On average, are buildings with multiple functions larger than the ones with a single function in 1808?",function,yes or no,0,0,"[('building_functions_count', 'building_functions_count', 2), ('building_functions_count', 'building_functions_count', 2)]","[True, False]",[],"[{'building_functions_count': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
75,What is the most common combination of functions of multi-functional buildings in 1740?,function,a single entity name,0,0,"[('functions', 'building_functions', 1), ('multi-functional', 'building_functions_count', 1)]","[False, False]",[],"[{'functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'multi-functional': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
76,What is the most common combination of functions of multi-functional buildings in 1808?,function,a single entity name,0,0,"[('functions', 'building_functions', 1), ('functions', 'building_functions', 2)]","[False, False]",[],"[{'functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",0
77,Is there a correlation between building functions and their proximity to the churches in 1740?,function,yes or no,1,0,"[('building functions', 'building_functions', 1), ('churches', 'landmark_name', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
78,Is there a correlation between building functions and their proximity to the churches in 1808?,function,yes or no,1,0,"[('building functions', 'building_functions', 2), ('churches', 'landmark_name', 3)]","[False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]","[{'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
79,Which church is surrounded by the most diverse set of building functions in 1740?,function,a single entity name,1,0,"[('church', 'landmark_name', 3), ('building functions', 'building_functions', 1)]","[True, True]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",[],1
80,Which church is surrounded by the most diverse set of building functions in 1808?,function,a single entity name,1,0,"[('Which church', 'landmark_name', 3), ('the most diverse set of building functions', 'building_functions', 2)]","[True, True]","[{'which church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa di san maurizio', 'chiesa delle eremite']}}]",[],1
81,Is there a correlation between the number of building functions and the rent price in 1740?,function,yes or no,0,0,"[('number of building functions', 'building_functions_count', 1), ('rent price', 'rent_price', 1)]","[False, False]",[],"[{'number of building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'rent price': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",0
82,Is there a correlation between the number of building functions and the size of the building in 1808?,function,yes or no,0,0,"[('number of building functions', 'building_functions', 2), ('size of the building', 'building_area', 2)]","[False, False]",[],"[{'number of building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'size of the building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_area'}}]",0
83,Which square has the largest number of commercial buildings within 100 meters in the dataset in 1740?,function,a single entity name,2,0,"[('Which', 'landmark_name', 3), ('square', 'Landmark_Name', 3), ('largest number of commercial buildings', 'building_functions', 1), ('largest number of commercial buildings', 'building_functions_count', 1)]","[True, True, True, True]","[{'which': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo ruga']}}, {'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",[],2
84,Which square has the largest number of commercial buildings within 100 meters in the dataset in 1808?,function,a single entity name,2,0,"[('square', 'Landmark_Name', 3), ('commercial buildings', 'building_functions', 2)]","[True, True]","[{'square': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",[],2
85,Which family owns the most number of buildings in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2)]","[True, False]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}]","[{'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
86,How many buildings does the family of Michiel own in 1740?,personal,a single number,1,1,"[('How many', 'building_functions_count', 1), ('family of Michiel', 'owner_family_name', 1)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}]",[],1
87,How many buildings does the Zuanne Don own in 1740?,personal,a single number,2,1,"[('Zuanne Don', 'owner_first_name', 1), ('Zuanne Don', 'owner_family_name', 1), ('buildings', 'building_functions_count', 1)]","[True, True, True]","[{'zuanne don': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['zuanne', 'zuanne domenico', 'zuanne antonio', 'zuanne salvador', 'zuane domenico', 'zuanne giovanni', 'zuanne paolo']}}, {'zuanne don': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['donini']}}]",[],2
88,Which family owns the most number of buildings in 1808?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2)]","[True, True]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",[],2
89,How many buildings does the family of Michiel own in 1808?,personal,a single number,1,1,"[('family of Michiel', 'owner_family_name', 2), ('own', 'owner_family_name', 2)]","[True, True]","[{'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'own': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['milik']}}]",[],2
90,How many buildings does the Zuanne Francesco own in 1740?,personal,a single number,2,1,[],[],[],[],0
91,Is there any correlation between the family name and the profession in 1740?,personal,yes or no,0,0,"[('family name', 'owner_family_name', 1), ('profession', 'owner_profession', 1)]","[False, False]",[],"[{'family name': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}]",0
92,Which family owns the most number of buildings per parish on average in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('number', 'building_functions_count', 1), ('parish', 'parish', 1)]","[False, True, True]","[{'number': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count', 'matches': ['1', '4']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",2
93,Which family owns the most number of buildings per district on average in 1740?,personal,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('owns', 'owner_family_name', 1), ('most', 'building_functions_count', 1), ('number of buildings', 'building_functions_count', 1), ('per district', 'district', 2)]","[False, False, False, True, False]",[],"[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owns': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'most': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'per district': {'dataset': 'data/buildings_1808.csv', 'column': 'district'}}]",0
94,How many lawyers are there in Venice in 1740?,personal,a single number,1,1,"[('lawyers', 'owner_profession', 1)]",[True],"[{'lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato', 'avvocato']}}]",[],1
95,How many cook are there in Venice in 1740?,personal,a single number,1,1,"[('cook', 'owner_profession', 1)]",[True],[],[],0
96,How many medical doctors are there in Venice in 1740?,personal,a single number,1,1,"[('medical doctors', 'owner_profession', 1)]",[True],"[{'medical doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico']}}]",[],1
97,What does Carlo Alberegno do in 1740?,personal,a single entity name,2,1,"[('Carlo', 'owner_first_name', 1), ('Alberegno', 'owner_family_name', 1)]","[True, True]","[{'carlo': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['carlo']}}, {'alberegno': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['alberegno']}}]",[],2
98,How many merchants are there in Venice in 1740?,personal,a single number,1,1,"[('merchants', 'owner_profession', 1)]",[True],"[{'merchants': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['mercante da legname']}}]",[],1
99,In which parish do prosecutors inhabit the most in 1740?,personal,a single entity name,1,1,[],[],[],[],0
100,In which parish do lawyers own the most number of buildings in 1740?,personal,a single entity name,1,1,"[('In which parish', 'parish', 1), ('do lawyers own the most number of buildings', 'owner_family_name', 1), ('do lawyers own the most number of buildings', 'building_functions_count', 1)]","[False, True, True]",[],"[{'in which parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish'}}]",0
101,How much of do doctors earch from rent on average in 1740?,personal,a single number,1,1,"[('doctors', 'owner_profession', 1), ('earn', 'rent_price', 1), ('from rent', 'rent_price', 1)]","[True, False, True]","[{'doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['dottor']}}]","[{'earn': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",1
102,Who is the richest person in term of how much they earn from rent in 1740?,personal,a single number,0,0,"[('richest person', 'owner_first_name', 1), ('richest person', 'owner_family_name', 1), ('richest person', 'owner_first_name', 2), ('richest person', 'owner_family_name', 2), ('earn from rent', 'rent_price', 1)]","[False, False, False, False, False]",[],"[{'richest person': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'richest person': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'richest person': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'richest person': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'earn from rent': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",0
103,Is there a significant difference in rent prices based on the profession of the building owner in 1740?,personal,yes or no,0,0,"[('rent prices', 'rent_price', 1), ('profession', 'owner_profession', 1)]","[False, False]",[],"[{'rent prices': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}, {'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}]",0
104,What is the most common building functions of buildings owned by the same family in 1740?,personal,a single entity name,0,0,"[('building functions', 'building_functions', 1), ('owned by the same family', 'owner_family_name', 1)]","[False, False]",[],"[{'building functions': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'owned by the same family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",0
105,What is the most common building functions of buildings owned by the same family in 1808?,personal,a single entity name,0,0,"[('building functions', 'Building_Functions', 2), ('owned by the same family', 'owner_family_name', 1), ('owned by the same family', 'owner_family_name', 2)]","[False, False, False]",[],"[{'building functions': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}, {'owned by the same family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owned by the same family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
106,What type of building is owned the most by lawyers in 1740?,personal,a single entity name,1,1,"[('What type of building', 'building_functions', 1), ('owned the most by lawyers', 'owner_profession', 1), ('owned the most by lawyers', 'owner_family_name', 1)]","[False, True, True]","[{'owned the most by lawyers': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['avocato']}}]","[{'what type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
107,What type of building is owned the most by doctors in 1740?,personal,a single entity name,1,1,"[('What type of building', 'building_functions', 1), ('owned the most by doctors', 'owner_profession', 1)]","[False, True]","[{'owned the most by doctors': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession', 'matches': ['medico']}}]","[{'what type of building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
108,How many people were relocated by more than 1km from 1740 to 1808?,comparison,a single number,0,0,"[('people', 'owner_first_name', 2), ('people', 'owner_family_name', 2), ('relocated by more than 1km', None, None)]","[False, False, True]",[],"[{'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name'}}, {'people': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
109,What is the average distance moved by individuals who owned buildings in both 1740 and 1808?,comparison,a single number,0,0,"[('individuals', 'owner_first_name', 1), ('individuals', 'owner_family_name', 1), ('owned buildings', 'building_functions_count', 1), ('owned buildings', 'rent_price', 1)]","[False, False, False, False]",[],"[{'individuals': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'individuals': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owned buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'owned buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'rent_price'}}]",0
110,How many more buildings does the family of Michiel own in 1808 compared to 1740?,comparison,a single number,1,1,"[('How many more', None, None), ('the family of Michiel', 'owner_family_name', 1), ('own', 'owner_first_name', 1), ('in 1740', None, 1), ('compared to 1808', None, 2)]","[False, True, True, False, True]","[{'the family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['aquisti michiel']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego']}}]",[],2
111,Which profession exhibited the highest rate of relocation compared to others from 1740 to 1808?,comparison,a single entity name,0,0,"[('profession', 'owner_profession', 1), ('building_functions_count', 'building_functions_count', 2)]","[False, False]",[],"[{'profession': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_profession'}}, {'building_functions_count': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
112,How many families own more buildings in 1808 than what they owned in 1740?,comparison,a single number,0,0,"[('How many families', 'owner_family_name', 1), ('How many families', 'owner_family_name', 2), ('own more buildings', 'building_functions_count', 1), ('in 1808 than what they owned in 1740', 'building_functions_count', 1)]","[False, False, False, True]",[],"[{'how many families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'how many families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'own more buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
113,How many families relocated their buildings closer to squares from 1740 to 1808?,comparison,a single number,1,0,"[('families', 'owner_family_name', 1), ('buildings', 'building_functions', 1), ('squares', 'landmark_type', 3), ('1740', None, None), ('1808', None, None)]","[False, False, True, True, False]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",1
114,How many families relocated their buildings further away from squares from 1740 to 1808?,comparison,a single number,1,0,"[('families', 'owner_family_name', 1), ('squares', 'Landmark_Type', 3)]","[False, True]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",1
115,How many more buildings are located within 100 meters from the closest squares in 1808 compared to 1740?,comparison,a single number,1,0,"[('squares', 'landmark_name', 3), ('buildings', 'building_functions_count', 1), ('distance', 'longitude', 1), ('closest', 'parish', 1), ('100 meters', None, None), ('1808', 'year', None)]","[True, False, True, True, True, True]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",0
116,How many less buildings are located within 100 meters from the closest  squares in 1808 compared to 1740?,comparison,a single number,1,0,"[('buildings', 'building_functions_count', 1), ('squares', 'landmark_name', 3), ('less', None, None), ('100 meters', None, None)]","[True, True, False, False]",[],[],0
117,How many families present in Venice in 1740 still exist in 1808?,comparison,a single number,0,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2)]","[False, False]",[],"[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
118,Does the family of Michiel exist in both periods?,comparison,yes or no,2,1,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('Michiel', 'owner_first_name', 1), ('Michiel', 'owner_first_name', 2)]","[False, False, False, True]","[{'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['michiel']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}]",1
119,How many more buildings does the family of Michiel own in 1808 compared to 1740?,comparison,a single number,2,1,"[('How many more', None, None), ('the family of Michiel', 'owner_family_name', 1), ('own', 'owner_first_name', 1), ('in 1740', None, 1), ('compared to 1808', None, 2)]","[False, True, True, False, True]","[{'the family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['aquisti michiel']}}, {'own': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name', 'matches': ['domenego']}}]",[],2
120,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('Michiel', 'owner_first_name', 1), ('Michiel', 'owner_first_name', 2)]","[False, False, False, True]","[{'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['michiel']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}]",1
121,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('Michiel', 'owner_first_name', 1), ('Michiel', 'owner_first_name', 2)]","[False, False, False, True]","[{'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['michiel']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}]",1
122,Does the family of Michiel exist in both periods?,comparison,yes or no,1,1,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('Michiel', 'owner_first_name', 1), ('Michiel', 'owner_first_name', 2)]","[False, False, False, True]","[{'michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['michiel']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}, {'michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}]",1
123,Which family increased the number of buildings they owned the most from 1740 to 1808?,comparison,a single entity name,0,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('increased the number of buildings they owned', 'building_functions_count', 1), ('increased the number of buildings they owned', 'building_functions_count', 2)]","[False, True, False, True]","[{'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'increased the number of buildings they owned': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}]",1
124,How many building changed from residential to commercial use between 1740 and 1808?,comparison,a single number,4,1,"[('building', 'owner_first_name', 1), ('building', 'tenant_name', 1), ('building', 'building_functions', 1), ('building', 'building_functions', 2), ('residential', 'building_functions', 1), ('commercial', 'building_functions', 1), ('commercial', 'building_functions', 2)]","[False, False, False, True, True, True, True]","[{'building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa', 'appartamento, luogo']}}, {'residential': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['appartamento', 'appartamento, casa']}}, {'commercial': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['magazzeno', 'calle', 'calle, magazzeno']}}, {'commercial': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['magazzeno']}}]","[{'building': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'building': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name'}}, {'building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",4
125,Do all buildings owned by the same people in both periods still serve the same function?,comparison,yes or no,0,0,"[('owned by the same people', 'owner_first_name', 1), ('owned by the same people', 'owner_family_name', 1), ('serve the same function', 'building_functions', 1), ('serve the same function', 'building_functions', 2)]","[False, False, False, True]",[],"[{'owned by the same people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_first_name'}}, {'owned by the same people': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'serve the same function': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}]",0
126,How many buildings retained the same function across the two time periods?,comparison,a single number,0,0,"[('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2), ('retained the same function', 'building_functions', 1), ('retained the same function', 'building_functions', 2)]","[False, False, True, True]",[],"[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions_count'}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}]",0
127,How many new families appeared in Venice in 1808 that were not present in 1740?,comparison,a single number,0,0,"[('new families', 'owner_family_name', 1), ('new families', 'owner_family_name', 2)]","[False, False]",[],"[{'new families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'new families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
128,Is there any decrease in the number of buildings held by a family on average from 1740 to 1808?,comparison,yes or no,0,0,"[('number of buildings', 'building_functions_count', 1), ('number of buildings', 'building_functions_count', 2), ('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2)]","[True, False, False, False]",[],"[{'number of buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions_count'}}, {'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",0
129,Are there any families who moved closer to the churches in general from 1740 to 1808?,comparison,yes or no,1,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('churches', 'Landmark_Type', 3)]","[False, False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
130,Are there any families who moved further away from the churches in general from 1740 to 1808?,comparison,yes or no,1,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('churches', 'Landmark_Type', 3)]","[False, False, True]","[{'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name'}}]",1
131,How many families who owned buildings in both 1740 and 1808 changed the type of buildings they owned?,comparison,a single number,0,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('owned buildings', 'building_functions', 1), ('owned buildings', 'building_functions', 2), ('changed the type of buildings they owned', 'building_functions', 1), ('changed the type of buildings they owned', 'building_functions', 2)]","[False, True, False, False, True, True]","[{'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}, {'owned buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions'}}, {'owned buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions'}}]",1
132,Did any families transition from being tenants in 1740 to building owners in 1808?,comparison,a single entity name,0,0,"[('families', 'owner_family_name', 1), ('tenants', 'tenant_name', 1), ('building owners', 'owner_first_name', 2)]","[False, True, True]","[{'tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['giovanni battista talota', 'domenico zane']}}, {'building owners': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['architetto']}}]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name'}}]",2
133,Have the squares with the most number of commercial buildings within 100 meters changed from 1740 to 1808?,comparison,yes or no,3,0,"[('squares', 'landmark_name', 3), ('commercial buildings', 'building_functions', 1), ('1740', None, None), ('1808', None, None)]","[True, True, True, True]","[{'commercial buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}]",[],1
